created_at,created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.text,retweeted_status.truncated,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,date_time,fetched_at
2020-10-12 13:53:55+00:00,Mon Oct 12 13:53:55 +0000 2020,1315651918580989952,1315651918580989952,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",True,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'STNG', 'indices': [63, 68]}, {'text': 'GOLD', 'indices': [69, 74]}, {'text': 'RCL', 'indices': [75, 79]}, {'text': 'AAL', 'indices': [80, 84]}, {'text': 'NET', 'indices': [85, 89]}, {'text': 'AAPL', 'indices': [90, 95]}, {'text': 'NKLA', 'indices': [96, 101]}, {'text': 'MGM', 'indices': [102, 106]}, {'text': 'MCRB', 'indices': [107, 112]}]",[],"[{'url': 'https://t.co/NrFvsr0dVj', 'expanded_url': 'https://discord.gg/9BKMRJc', 'display_url': 'discord.gg/9BKMRJc', 'indices': [38, 61]}, {'url': 'https://t.co/vfWXKSUu0C', 'expanded_url': 'https://twitter.com/i/web/status/1315651918580989952', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",en,recent,1294356362554556416,1294356362554556416,Jhon trade,JhonTrade,,"stock, crypto, option trader and marketer",,[],False,149,80,1,Fri Aug 14 19:33:13 +0000 2020,7,,,False,False,3055,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1294356857943801856/1VRSVFLy_normal.jpg,https://pbs.twimg.com/profile_images/1294356857943801856/1VRSVFLy_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:53:55,2020-10-12 16:55:12
2020-10-12 13:53:15+00:00,Mon Oct 12 13:53:15 +0000 2020,1315651748825006080,1315651748825006080,Florida Mayor Reaffirms Commitment To Cruise Industry Restart https://t.co/mInvxumshb | $BAC $LVS $SAVE $DAL $AAPL… https://t.co/1EoMlwqyIZ,True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'BAC', 'indices': [88, 92]}, {'text': 'LVS', 'indices': [93, 97]}, {'text': 'SAVE', 'indices': [98, 103]}, {'text': 'DAL', 'indices': [104, 108]}, {'text': 'AAPL', 'indices': [109, 114]}]",[],"[{'url': 'https://t.co/mInvxumshb', 'expanded_url': 'https://cruiseradio.net/florida-mayor-reaffirms-commitment-to-cruise-industry-restart/', 'display_url': 'cruiseradio.net/florida-mayor-…', 'indices': [62, 85]}, {'url': 'https://t.co/1EoMlwqyIZ', 'expanded_url': 'https://twitter.com/i/web/status/1315651748825006080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",en,recent,154063703,154063703,EUROPEAN TRADERS,Marketupdater,Germany France Spain Italy  ,STOCK MARKET - TRADING - FOREX,,[],False,1879,2206,23,Thu Jun 10 07:59:08 +0000 2010,1849,,,False,False,20940,,False,False,False,FA743E,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_banners/154063703/1590400424,FA743E,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:53:15,2020-10-12 16:55:12
2020-10-12 13:51:49+00:00,Mon Oct 12 13:51:49 +0000 2020,1315651389352144899,1315651389352144899,"Everyone, Come join an amazing group of traders https://t.co/NrFvsr0dVj

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG… https://t.co/rc6gItkxae",True,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'EYEN', 'indices': [73, 78]}, {'text': 'SAVE', 'indices': [79, 84]}, {'text': 'GLD', 'indices': [85, 89]}, {'text': 'NIO', 'indices': [90, 94]}, {'text': 'AAL', 'indices': [95, 99]}, {'text': 'CCL', 'indices': [100, 104]}, {'text': 'OXY', 'indices': [105, 109]}, {'text': 'JNUG', 'indices': [110, 115]}]",[],"[{'url': 'https://t.co/NrFvsr0dVj', 'expanded_url': 'https://discord.gg/9BKMRJc', 'display_url': 'discord.gg/9BKMRJc', 'indices': [48, 71]}, {'url': 'https://t.co/rc6gItkxae', 'expanded_url': 'https://twitter.com/i/web/status/1315651389352144899', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,1294356362554556416,1294356362554556416,Jhon trade,JhonTrade,,"stock, crypto, option trader and marketer",,[],False,149,80,1,Fri Aug 14 19:33:13 +0000 2020,7,,,False,False,3051,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1294356857943801856/1VRSVFLy_normal.jpg,https://pbs.twimg.com/profile_images/1294356857943801856/1VRSVFLy_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:51:49,2020-10-12 16:52:16
2020-10-12 13:49:47+00:00,Mon Oct 12 13:49:47 +0000 2020,1315650877160599553,1315650877160599553,"Goldman is optimistic on a vaccine, says investors should focus on that instead of election | Lenexweb… https://t.co/zinY5sSyi5",True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],[],[],"[{'url': 'https://t.co/zinY5sSyi5', 'expanded_url': 'https://twitter.com/i/web/status/1315650877160599553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",en,recent,154063703,154063703,EUROPEAN TRADERS,Marketupdater,Germany France Spain Italy  ,STOCK MARKET - TRADING - FOREX,,[],False,1879,2206,23,Thu Jun 10 07:59:08 +0000 2010,1849,,,False,False,20939,,False,False,False,FA743E,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_banners/154063703/1590400424,FA743E,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:49:47,2020-10-12 16:52:16
2020-10-12 13:48:23+00:00,Mon Oct 12 13:48:23 +0000 2020,1315650523832422401,1315650523832422401,"Southwest Airlines adds flights to Montrose/Telluride, a Colorado ski destination, for this winter - Denver Busines… https://t.co/4rInDoqapX",True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],[],[],"[{'url': 'https://t.co/4rInDoqapX', 'expanded_url': 'https://twitter.com/i/web/status/1315650523832422401', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,154063703,154063703,EUROPEAN TRADERS,Marketupdater,Germany France Spain Italy  ,STOCK MARKET - TRADING - FOREX,,[],False,1879,2206,23,Thu Jun 10 07:59:08 +0000 2010,1849,,,False,False,20938,,False,False,False,FA743E,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_banners/154063703/1590400424,FA743E,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:48:23,2020-10-12 16:49:20
2020-10-12 13:44:43+00:00,Mon Oct 12 13:44:43 +0000 2020,1315649602268389376,1315649602268389376,GOOD CRUISE LINE NEWS WE NOW KNOW WHEN CRUISING WILL RESTART IN THE US https://t.co/0h2mX7oXx2 | $BAC $LVS $SAVE… https://t.co/NoxIXqTQmL,True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'BAC', 'indices': [97, 101]}, {'text': 'LVS', 'indices': [102, 106]}, {'text': 'SAVE', 'indices': [107, 112]}]",[],"[{'url': 'https://t.co/0h2mX7oXx2', 'expanded_url': 'https://youtu.be/L6ybJ_Kksec', 'display_url': 'youtu.be/L6ybJ_Kksec', 'indices': [71, 94]}, {'url': 'https://t.co/NoxIXqTQmL', 'expanded_url': 'https://twitter.com/i/web/status/1315649602268389376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",en,recent,154063703,154063703,EUROPEAN TRADERS,Marketupdater,Germany France Spain Italy  ,STOCK MARKET - TRADING - FOREX,,[],False,1879,2206,23,Thu Jun 10 07:59:08 +0000 2010,1849,,,False,False,20937,,False,False,False,FA743E,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_banners/154063703/1590400424,FA743E,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:44:43,2020-10-12 16:46:57
2020-10-12 13:44:38+00:00,Mon Oct 12 13:44:38 +0000 2020,1315649579912556544,1315649579912556544,"Thanks for the $1k
DISCORD 
https://t.co/CmCIV7vIef
Best stock trade Group out there!

 $AMZN $AMD $SPY $QQQ $ATH… https://t.co/uiT418Cjnm",True,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'AMZN', 'indices': [88, 93]}, {'text': 'AMD', 'indices': [94, 98]}, {'text': 'SPY', 'indices': [99, 103]}, {'text': 'QQQ', 'indices': [104, 108]}, {'text': 'ATH', 'indices': [109, 113]}]",[],"[{'url': 'https://t.co/CmCIV7vIef', 'expanded_url': 'https://discord.gg/UggrPBP', 'display_url': 'discord.gg/UggrPBP', 'indices': [28, 51]}, {'url': 'https://t.co/uiT418Cjnm', 'expanded_url': 'https://twitter.com/i/web/status/1315649579912556544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",en,recent,1261540915258294272,1261540915258294272,stock trader,stocktrader5550,,trade market analyst and trader,,[],False,491,462,5,Sat May 16 06:16:23 +0000 2020,27,,,True,False,2673,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1290740752473919489/m6Lrvb1O_normal.jpg,https://pbs.twimg.com/profile_images/1290740752473919489/m6Lrvb1O_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:44:38,2020-10-12 16:46:57
2020-10-12 13:41:17+00:00,Mon Oct 12 13:41:17 +0000 2020,1315648740158562305,1315648740158562305,Michigan Medicine launches second COVID-19 vaccine trial https://t.co/UTBnu5B9Cc | $BAC $LVS $SAVE $DAL $AAPL $TSLA… https://t.co/LNnL9BRkkp,True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,[],"[{'text': 'BAC', 'indices': [83, 87]}, {'text': 'LVS', 'indices': [88, 92]}, {'text': 'SAVE', 'indices': [93, 98]}, {'text': 'DAL', 'indices': [99, 103]}, {'text': 'AAPL', 'indices': [104, 109]}, {'text': 'TSLA', 'indices': [110, 115]}]",[],"[{'url': 'https://t.co/UTBnu5B9Cc', 'expanded_url': 'https://eu.detroitnews.com/story/news/local/michigan/2020/10/12/michigan-medicine-launches-second-covid-19-vaccine-trial/5965635002/', 'display_url': 'eu.detroitnews.com/story/news/loc…', 'indices': [57, 80]}, {'url': 'https://t.co/LNnL9BRkkp', 'expanded_url': 'https://twitter.com/i/web/status/1315648740158562305', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",en,recent,154063703,154063703,EUROPEAN TRADERS,Marketupdater,Germany France Spain Italy  ,STOCK MARKET - TRADING - FOREX,,[],False,1879,2206,23,Thu Jun 10 07:59:08 +0000 2010,1849,,,False,False,20937,,False,False,False,FA743E,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_images/1072199312740966402/05dljoWj_normal.jpg,https://pbs.twimg.com/profile_banners/154063703/1590400424,FA743E,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:41:17,2020-10-12 16:46:57
2020-10-12 13:41:15+00:00,Mon Oct 12 13:41:15 +0000 2020,1315648729186275329,1315648729186275329,@The_RockTrading I'm still shorting $RCL   Over $70 now....  At best it's a $35 stock.    Not sure if you Short but take a look.  :),False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3156452598465782e+18,1315645259846578176,21764428.0,21764428,The_RockTrading,,,,,False,0,0,False,False,,en,[],"[{'text': 'RCL', 'indices': [36, 40]}]","[{'screen_name': 'The_RockTrading', 'name': 'The Rock Trading #TRT', 'id': 21764428, 'id_str': '21764428', 'indices': [0, 16]}]",[],en,recent,502096134,502096134,TG,tgardner917,,I enjoy learning the basics of trading.  Just an amateur trying to make $1.  :),,[],False,35,76,0,Fri Feb 24 20:13:47 +0000 2012,1024,,,False,False,387,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277653585774497798/ZM67drUv_normal.jpg,https://pbs.twimg.com/profile_images/1277653585774497798/ZM67drUv_normal.jpg,https://pbs.twimg.com/profile_banners/502096134/1592938994,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-12 13:41:15,2020-10-12 16:46:57
2020-10-12 13:39:32+00:00,Mon Oct 12 13:39:32 +0000 2020,1315648299815366656,1315648299815366656,"RT @aaaamhim: $ITOX unknown #STARTUP created by former VP of R&amp;D 4 Medtronic📈💸
$AAPL $AMD $AMRN $AAL $BAC $AMZN $MSFT $BA $ABT $TSLA $X $NV…",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,"[{'text': 'STARTUP', 'indices': [28, 36]}]","[{'text': 'ITOX', 'indices': [14, 19]}, {'text': 'AAPL', 'indices': [83, 88]}, {'text': 'AMD', 'indices': [89, 93]}, {'text': 'AMRN', 'indices': [94, 99]}, {'text': 'AAL', 'indices': [100, 104]}, {'text': 'BAC', 'indices': [105, 109]}, {'text': 'AMZN', 'indices': [110, 115]}, {'text': 'MSFT', 'indices': [116, 121]}, {'text': 'BA', 'indices': [122, 125]}, {'text': 'ABT', 'indices': [126, 130]}, {'text': 'TSLA', 'indices': [131, 136]}, {'text': 'X', 'indices': [137, 139]}]","[{'screen_name': 'aaaamhim', 'name': 'Obi', 'id': 25762392, 'id_str': '25762392', 'indices': [3, 12]}]",[],en,recent,849351365113638914,849351365113638914,Stocks for T,for_stocks,,,,[],False,163,312,2,Tue Apr 04 20:02:00 +0000 2017,12180,,,False,False,10031,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1042128502819115010/vGynU2Mv_normal.jpg,https://pbs.twimg.com/profile_images/1042128502819115010/vGynU2Mv_normal.jpg,https://pbs.twimg.com/profile_banners/849351365113638914/1537225113,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Oct 12 02:54:05 +0000 2020,1.315485866668839e+18,1315485866668838912,"$ITOX unknown #STARTUP created by former VP of R&amp;D 4 Medtronic📈💸
$AAPL $AMD $AMRN $AAL $BAC $AMZN $MSFT $BA $ABT… https://t.co/LGPByyhaSK",True,"[{'text': 'STARTUP', 'indices': [14, 22]}]","[{'text': 'ITOX', 'indices': [0, 5]}, {'text': 'AAPL', 'indices': [69, 74]}, {'text': 'AMD', 'indices': [75, 79]}, {'text': 'AMRN', 'indices': [80, 85]}, {'text': 'AAL', 'indices': [86, 90]}, {'text': 'BAC', 'indices': [91, 95]}, {'text': 'AMZN', 'indices': [96, 101]}, {'text': 'MSFT', 'indices': [102, 107]}, {'text': 'BA', 'indices': [108, 111]}, {'text': 'ABT', 'indices': [112, 116]}]",[],"[{'url': 'https://t.co/LGPByyhaSK', 'expanded_url': 'https://twitter.com/i/web/status/1315485866668838912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [118, 141]}]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,25762392.0,25762392,Obi,aaaamhim,Boston,"I'm Him. Liars never figure, figures don't lie. Boston RE pro, Stocks maniac, nonconformist. Here 2learn &2help others anyway I can ALL I post R JUST MY OPINION",,[],False,18296.0,17570.0,467.0,Sun Mar 22 01:46:51 +0000 2009,9821.0,,,True,False,114896.0,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1154857139/images__1__normal.jpg,https://pbs.twimg.com/profile_images/1154857139/images__1__normal.jpg,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,,,,,False,0.0,0.0,False,False,False,en,2020-10-12 13:39:32,2020-10-12 16:46:57
