,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,500.00000000000017,$alyi going to make me rich some day soon!!!,True,2020-10-12 14:33:50.468982
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,500.00000000000017,$alyi going to make me rich some day soon!!!,True,2020-10-12 14:39:57.605806
2,2.0,2.0,2.0,2.0,2.0,,,5,500.00000000000017,$alyi going to make me rich some day soon!!!,True,2020-10-12 14:47:42.673827
3,3.0,3.0,3.0,3.0,,,,5,500.00000000000017,$alyi going to make me rich some day soon!!!,True,2020-10-12 14:58:39.318263
4,4.0,4.0,4.0,,,,,6,,RT @AngelsTrading: HIRU .0011 Someone is accumulating heavy here $NSPX 😯 Join over 827 members #free of charge 👉🏽 https://t.co/e2lqF3EOAM……,False,2020-10-12 16:49:39.316269
5,5.0,5.0,5.0,,,,,7,,RT @AngelsTrading: HIRU .0011 Someone is accumulating heavy here $NSPX 😯 Join over 827 members #free of charge 👉🏽 https://t.co/e2lqF3EOAM……,False,2020-10-12 16:52:34.730149
6,6.0,6.0,6.0,,,,,9,,RT @AngelsTrading: HIRU .0011 Someone is accumulating heavy here $NSPX 😯 Join over 827 members #free of charge 👉🏽 https://t.co/e2lqF3EOAM……,False,2020-10-12 16:55:31.636083
7,7.0,7.0,7.0,,,,,9,,RT @AngelsTrading: HIRU .0011 Someone is accumulating heavy here $NSPX 😯 Join over 827 members #free of charge 👉🏽 https://t.co/e2lqF3EOAM……,False,2020-10-12 16:58:00.383187
8,8.0,8.0,,,,,,7,,RT @AngelsTrading: $ATVK .0030 HOD! From our low team entry 👏🏼 Join over 827 members #free of charge Right pointing backhand index https://…,False,2020-10-12 17:46:09.104766
9,9.0,,,,,,,5,,RT @AngelsTrading: $ATVK .0030 HOD! From our low team entry 👏🏼 Join over 827 members #free of charge Right pointing backhand index https://…,False,2020-10-12 17:59:46.614891
10,,,,,,,,6,,RT @timothysykes: Retweet/favorite this if you want a video lesson on promoters failed on $DSGT $ENZC $NSPX $ALYI $FPVD &amp; all those stocks…,False,2020-10-12 18:43:46.377808
