,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 14:33:50.457013
1,1.0,1.0,1.0,1.0,1.0,1.0,,2,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 14:39:57.593837
2,2.0,2.0,2.0,2.0,2.0,,,3,,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)💥

Mon: -
Tues: $JPM $C $BLK $JNJ $DAL $FAST
Wed: $BAC $GS $WFC $P…",False,2020-10-12 14:47:42.663855
3,3.0,3.0,3.0,3.0,,,,3,,"RT @JesseCohenInv: 💥Notable #Earnings To Watch This Week (via @eWhispers)💥

Mon: -
Tues: $JPM $C $BLK $JNJ $DAL $FAST
Wed: $BAC $GS $WFC $P…",False,2020-10-12 14:58:39.308290
4,4.0,4.0,4.0,,,,,5,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 16:49:39.304300
5,5.0,5.0,5.0,,,,,6,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 16:52:34.720163
6,6.0,6.0,6.0,,,,,8,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 16:55:31.626107
7,7.0,7.0,7.0,,,,,8,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 16:58:00.373212
8,8.0,8.0,,,,,,7,,"RT @todd_harrison: RSI a touch 🌶 but $APHA trying to get to levels last seen in 2019. 

/position https://t.co/wXs3aIvPTz",False,2020-10-12 17:46:09.090837
9,9.0,,,,,,,5,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 17:59:46.605886
10,,,,,,,,6,,"RT @eWhispers: #earnings season starts Tuesday 

https://t.co/lObOE0dgsr 

$JPM $JNJ $C $BAC $PGR $DAL $BLK $UNH $WFC $GS $FAST $APHA $WBA…",False,2020-10-12 18:43:46.365843
