,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"20 days free trial available
Discord link below
https://t.co/gLBYeXjzUY

$AAL $NAKD $DYNT $INO $GNUS $UAVS $JAKK… https://t.co/kYRhB5gYcv",False,2020-10-12 14:33:50.463995
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"20 days free trial available
Discord link below
https://t.co/gLBYeXjzUY

$AAL $NAKD $DYNT $INO $GNUS $UAVS $JAKK… https://t.co/kYRhB5gYcv",False,2020-10-12 14:39:57.602842
2,2.0,2.0,2.0,2.0,2.0,,,5,,"20 days free trial available
Discord link below
https://t.co/gLBYeXjzUY

$AAL $NAKD $DYNT $INO $GNUS $UAVS $JAKK… https://t.co/kYRhB5gYcv",False,2020-10-12 14:47:42.669871
3,3.0,3.0,3.0,3.0,,,,5,,"20 days free trial available
Discord link below
https://t.co/gLBYeXjzUY

$AAL $NAKD $DYNT $INO $GNUS $UAVS $JAKK… https://t.co/kYRhB5gYcv",False,2020-10-12 14:58:39.316266
4,4.0,4.0,4.0,,,,,5,,Gman I am happy to confirm the $AYRO short ratio went from 21% to 14%,False,2020-10-12 16:49:39.312290
5,5.0,5.0,5.0,,,,,6,,"Alerts
Update 
Watchlist
Discord chatroom
https://t.co/NrFvsr0dVj
❤️
Stocks, Options,Forex

$AAL $NAKD $DYNT $INO… https://t.co/i23oYethGP",False,2020-10-12 16:52:34.727130
6,6.0,6.0,6.0,,,,,7,,"Options + Stock Alerts
Discord link below
https://t.co/NrFvsr0dVj

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL… https://t.co/qvQdWTwvtq",False,2020-10-12 16:55:31.633078
7,7.0,7.0,7.0,,,,,7,,"Options + Stock Alerts
Discord link below
https://t.co/NrFvsr0dVj

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL… https://t.co/qvQdWTwvtq",False,2020-10-12 16:58:00.379202
8,8.0,8.0,,,,,,6,,RT @cardinal6000: added $AYRO 2.91,False,2020-10-12 17:46:09.099801
9,9.0,,,,,,,10,,"RT @Damadafawker: Amazing $BHTG dip opportunity COVID play and should drop PR any day now!

$AESE $TRCH $AYRO",False,2020-10-12 17:59:46.611901
10,,,,,,,,7,,"Over 72k+ people. Join now
Discord group👇
https://t.co/aYA6pTe5ve

$CGM $APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF… https://t.co/MuOvBNofgn",False,2020-10-12 18:43:46.374802
