,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"RT @BioStocks: Inhaled vaccines won’t require needles, could be easier to roll out - and they may be more effective too.  #COVID19 

https:…",False,2020-10-12 14:33:50.494910
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @FS_9433: (自分が注目してる)
米株3Q決算スケジュール

10/20
 $NFLX

10/21
 $MSFT
 $TSLA

10/22
 $AMZN
 $GILD
 $INTC

10/27
 $AMD

10/28
 $BA

10/29
 $TPR…",False,2020-10-12 14:39:57.621772
2,2.0,2.0,2.0,2.0,2.0,,,5,,"RT @FS_9433: (自分が注目してる)
米株3Q決算スケジュール

10/20
 $NFLX

10/21
 $MSFT
 $TSLA

10/22
 $AMZN
 $GILD
 $INTC

10/27
 $AMD

10/28
 $BA

10/29
 $TPR…",False,2020-10-12 14:47:42.694771
3,3.0,3.0,3.0,3.0,,,,7,,"RT @BioStocks: Inhaled vaccines won’t require needles, could be easier to roll out - and they may be more effective too.  #COVID19 

https:…",False,2020-10-12 14:58:39.333220
4,4.0,4.0,4.0,,,,,6,,AstraZeneca Antibody Treatment Receives U.S. Funding $AZN https://t.co/V3Ik67SKJm,False,2020-10-12 16:49:39.334219
5,5.0,5.0,5.0,,,,,7,,$FAS Direxion Financial Bull 3X Shares Option Alert: Mar 19 $30 Calls Sweep (2) near the Ask: 750 @ $13.0 vs 927 OI… https://t.co/PHc8oLY72I,False,2020-10-12 16:52:34.745114
6,6.0,6.0,6.0,,,,,7,,$FAS Direxion Financial Bull 3X Shares Option Alert: Mar 19 $30 Calls Sweep (2) near the Ask: 750 @ $13.0 vs 927 OI… https://t.co/PHc8oLY72I,False,2020-10-12 16:55:31.652040
7,7.0,7.0,7.0,,,,,7,,$FAS Direxion Financial Bull 3X Shares Option Alert: Mar 19 $30 Calls Sweep (2) near the Ask: 750 @ $13.0 vs 927 OI… https://t.co/PHc8oLY72I,False,2020-10-12 16:58:00.400140
8,8.0,8.0,,,,,,7,,"RT @EmergingGrowth1: $CVLB Conversion Labs (CVLB) Expects Q3 2020 Record Revenue of $11.2 Million, up 254%; Subscription ARR Hits $19.3 mil…",False,2020-10-12 17:46:09.120752
9,9.0,,,,,,,5,,"RT @stockMarketTrdg: Oct 12 #stockMarket overview and #stockTrading ideas
👉 https://t.co/hbMO4vMRVm👈

#Stocks listed: $SPY $AAPL $AMD $NXPI…",False,2020-10-12 17:59:46.632813
10,,,,,,,,6,,"RT @MrBigAustinTx: 10/9/20 $AZN AB files application for ""Lipocalin Mutein for treatment of Asthma"". Inventors: 6 from AZN and 3 from $PIRS…",False,2020-10-12 18:43:46.393766
