,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,"RT @GoingGreenPicks: $HTSC, EV Nickel play. Donald Trump just announced executive order going in $HTSC favor. Last trade .068. See you at .…",False,2020-10-12 14:33:50.512863
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @Benzinga: Barron's Picks And Pans: Alibaba, AllianceBernstein, Pfizer And More $AB $AMC $DIS $REGN $BABA $CAT $INTC https://t.co/c42qVB…",False,2020-10-12 14:39:57.635725
2,2.0,2.0,2.0,2.0,2.0,,,6,,"RT @Benzinga: Barron's Picks And Pans: Alibaba, AllianceBernstein, Pfizer And More $AB $AMC $DIS $REGN $BABA $CAT $INTC https://t.co/c42qVB…",False,2020-10-12 14:47:42.710732
3,3.0,3.0,3.0,3.0,,,,9,,"RT @EliteOptions2: $JMIA - Swing Trade Idea - Jan 15 13C - bid/ask: 2.10/2.45

Closed at 10.36 on Friday. 

For this week, JMIA needs to ho…",False,2020-10-12 14:58:39.348181
4,4.0,4.0,4.0,,,,,14,,RT @OphirGottlieb: $BABA Chinese shoppers spend big during the Golden Week holidays — a sign consumption is on the mend https://t.co/aOK7Er…,False,2020-10-12 16:49:39.350176
5,5.0,5.0,5.0,,,,,15,,RT @OphirGottlieb: $BABA Chinese shoppers spend big during the Golden Week holidays — a sign consumption is on the mend https://t.co/aOK7Er…,False,2020-10-12 16:52:34.760075
6,6.0,6.0,6.0,,,,,25,,RT @OphirGottlieb: $BABA Chinese shoppers spend big during the Golden Week holidays — a sign consumption is on the mend https://t.co/aOK7Er…,False,2020-10-12 16:55:31.664971
7,7.0,7.0,7.0,,,,,25,,RT @OphirGottlieb: $BABA Chinese shoppers spend big during the Golden Week holidays — a sign consumption is on the mend https://t.co/aOK7Er…,False,2020-10-12 16:58:00.412110
8,8.0,8.0,,,,,,11,,$BABA flying through the 300 dollar resistance💪🏼,False,2020-10-12 17:46:09.135719
9,9.0,,,,,,,9,,"RT @CattleRob: $CGC Nice run, gap to fill at $21.37

more info here:
https://t.co/YHx3l12PKy

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $…",False,2020-10-12 17:59:46.646775
10,,,,,,,,7,,"SmartOptions® Unusual Activity Alert
(Delayed)

$BABA $260 Calls
Dec 18 Exp 

Trade Volume: 286 Contracts

$1,378,5… https://t.co/9a1zmoEoqH",False,2020-10-12 18:43:46.411530
