,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"Mr Wonderful: ""Inflationary times""
$GOLD, @CNBC

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $zm… https://t.co/rZ9tedPxqF",False,2020-10-12 14:33:50.538794
1,1.0,1.0,1.0,1.0,1.0,1.0,,6,,"RT @EllleDe: Most Popular Symbols
Period: Last hour

1     $MDLY   
2     $AAPL   
3     $LIZI   
4     $TSLA   
5     $WKHS   
6     $PSHG…",False,2020-10-12 14:39:57.653678
2,2.0,2.0,2.0,2.0,2.0,,,6,,RT @DeItaone: $DKNG: CREDIT SUISSE STARTS AT OUTPERFORM; PT $76,False,2020-10-12 14:47:42.733427
3,3.0,3.0,3.0,3.0,,,,8,,RT @vwaptrader1: $DKNG https://t.co/GDvEUYLyha,False,2020-10-12 14:58:39.368094
4,4.0,4.0,4.0,,,,,15,,"RT @samuelodusami: DraftKings stock bounces after string of losses, as Oppenheimer analyst sees 'compelling buying opportunity'

https://t.…",False,2020-10-12 16:49:39.374113
5,5.0,5.0,5.0,,,,,32,,"RT @MarketRebels: PRICE TARGETS:

$MSFT raised to $245 from $230 at Deutsche Bank
$FB raised to $325 from $305 at Deutsche Bank
$GOOG raise…",False,2020-10-12 16:52:34.778993
6,6.0,6.0,6.0,,,,,42,,"RT @ecommerceshares: $DKNG US gambling stocks have really left lower Earth orbit now... what a bubble.

CS Initiation: “Our $76 Target Pric…",False,2020-10-12 16:55:31.684948
7,7.0,7.0,7.0,,,,,42,,"RT @ecommerceshares: $DKNG US gambling stocks have really left lower Earth orbit now... what a bubble.

CS Initiation: “Our $76 Target Pric…",False,2020-10-12 16:58:00.433052
8,8.0,8.0,,,,,,4,,RT @tomatous2020: $DKNG 公募$52を超えてひけれるか。ひけれるなら、リバウンドもあるかな。今日は試練の日。,False,2020-10-12 17:46:09.153635
9,9.0,,,,,,,5,,"$DKNG

finally got the 50.57 gap filled friyay and also assigned stonk via selling 50 p that expired in the money..… https://t.co/CSFNgtOlYs",False,2020-10-12 17:59:46.664759
10,,,,,,,,7,,$DKNG up 6%-- after I sold my call spreads at a loss on Friday . Markets must fucking hate me.,False,2020-10-12 18:43:46.432495
