,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"RT @BrianFeroldi: U.S. E-commerce Sales as % of Total Retail sales

$AMZN
$CHWY
$ETSY
$PYPL
$SHOP
$W https://t.co/wbM1WE0RDc",False,2020-10-12 14:33:50.531813
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @BrianFeroldi: U.S. E-commerce Sales as % of Total Retail sales

$AMZN
$CHWY
$ETSY
$PYPL
$SHOP
$W https://t.co/wbM1WE0RDc",False,2020-10-12 14:39:57.647694
2,2.0,2.0,2.0,2.0,2.0,,,5,350.0,"RT @BrianFeroldi: U.S. E-commerce Sales as % of Total Retail sales

$AMZN
$CHWY
$ETSY
$PYPL
$SHOP
$W https://t.co/wbM1WE0RDc",True,2020-10-12 14:47:42.725413
3,3.0,3.0,3.0,3.0,,,,5,,"RT @GraysonRoze: ""10 I'm Stalking"" this week: 

$APPN - Appian
$DT - Dynatrace
$ETSY - Etsy
$PAYC - Paycom
$PINS - Pinterest
$PODD - Insule…",False,2020-10-12 14:58:39.360117
4,4.0,4.0,4.0,,,,,6,,"$WKHS 25c from 1.3
to 5.6 now 
(+330% gain)
💰 

You could have easily paid for your monthly access to the Insider's… https://t.co/KQw4h5esIc",False,2020-10-12 16:49:39.365136
5,5.0,5.0,5.0,,,,,6,,"$WKHS 25c from 1.3
to 5.6 now 
(+330% gain)
💰 

You could have easily paid for your monthly access to the Insider's… https://t.co/KQw4h5esIc",False,2020-10-12 16:52:34.772013
6,6.0,6.0,6.0,,,,,7,,"Insider's Club:

$JD 80c bot at 1.5
Now at 3.5
(+133% gain)💰

$VIX $SPY $QQQ $TSLA $NKLA $GE $SHOP $SPOT $WKHS… https://t.co/7Y4NdayBkP",False,2020-10-12 16:55:31.678967
7,7.0,7.0,7.0,,,,,7,,"Insider's Club:

$JD 80c bot at 1.5
Now at 3.5
(+133% gain)💰

$VIX $SPY $QQQ $TSLA $NKLA $GE $SHOP $SPOT $WKHS… https://t.co/7Y4NdayBkP",False,2020-10-12 16:58:00.426071
8,8.0,8.0,,,,,,5,,"RT @BrianFeroldi: U.S. E-commerce Sales as % of Total Retail sales

$AMZN
$CHWY
$ETSY
$PYPL
$SHOP
$W https://t.co/wbM1WE0RDc",False,2020-10-12 17:46:09.147651
9,9.0,,,,,,,5,,@trader_marky I should have grabbed some a week ago at $70. That was a massive bargain for a company that looks gre… https://t.co/McJUShipEl,False,2020-10-12 17:59:46.658775
10,,,,,,,,5,,"RT @JonahLupton: Portfolio update 10/9:

$FSLY 12%
$TSLA 10%
$SE 8%
$CRWD 7%
$SQ 6%
$ETSY 6%
$PTON 6%
$ROKU 5%
$PINS 5%
$DOCU 5%
$TDOC 5%
$…",False,2020-10-12 18:43:46.424495
