,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,300.00000000000006,"Judging by the premarket price action of Workhorse and DiamondPeak, it appears that the Fuzzy Panda experience is g… https://t.co/lSQclkAqkP",True,2020-10-12 14:33:50.453025
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,300.00000000000006,"Judging by the premarket price action of Workhorse and DiamondPeak, it appears that the Fuzzy Panda experience is g… https://t.co/lSQclkAqkP",True,2020-10-12 14:39:57.589848
2,2.0,2.0,2.0,2.0,2.0,,,5,300.00000000000006,"Judging by the premarket price action of Workhorse and DiamondPeak, it appears that the Fuzzy Panda experience is g… https://t.co/lSQclkAqkP",True,2020-10-12 14:47:42.657871
3,3.0,3.0,3.0,3.0,,,,5,300.00000000000006,"Judging by the premarket price action of Workhorse and DiamondPeak, it appears that the Fuzzy Panda experience is g… https://t.co/lSQclkAqkP",True,2020-10-12 14:58:39.305296
4,4.0,4.0,4.0,,,,,5,300.00000000000006,RT @Doc_Steve_Brule: Favorite charts to enter low risk on equity high risk on warrants - $hcac $pic $gmhi $dmyt - all looking good here in…,True,2020-10-12 16:49:39.300311
5,5.0,5.0,5.0,,,,,6,500.00000000000017,"Everyone, Come join an amazing group of traders https://t.co/NrFvsr0dVj

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG… https://t.co/rc6gItkxae",True,2020-10-12 16:52:34.716191
6,6.0,6.0,6.0,,,,,7,500.00000000000017,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",True,2020-10-12 16:55:31.623122
7,7.0,7.0,7.0,,,,,7,500.00000000000017,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",True,2020-10-12 16:58:00.370220
8,8.0,8.0,,,,,,5,,200 DMA Support today: $HCAC ... https://t.co/LjP7KUcNnp,False,2020-10-12 17:46:09.087845
9,9.0,,,,,,,5,,"Ford $F Stock Can Jump 40%, Says Analyst. 3 Reasons to Expect Strong Earnings. 

$SPAQ $SHLL $TSLA $NKLA $WKHS $NIO… https://t.co/MwLaEPGZeM",False,2020-10-12 17:59:46.601930
10,,,,,,,,5,,"$KCAC looks like a bottom area. Bill Gates backed solid state battery SPAC

$TSLA $BLNK $WKHS $DPHC $IDEX $FUV $SBE… https://t.co/7IDE7WzPAM",False,2020-10-12 18:43:46.362816
