,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"@DeItaone Check out $JE premarket 
$JE stock the next $KODK moment coming soon.
Blackrock also bought 28.9% another… https://t.co/iVd2sDJ9o5",False,2020-10-12 14:33:50.461003
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"💪

Solid day today trading 

$GRNQ $WWR $SPI $CEMI $GA 

✅

Alerts,Analysis given daily

🔴 Join… https://t.co/sLm2beX0gn",False,2020-10-12 14:39:57.597828
2,2.0,2.0,2.0,2.0,2.0,,,5,,$EYEN +15% 🚀 to receive up to $35M milestones payments from $BHC for atropine ophthalmic solution deal #Eyenovia… https://t.co/DGhuMjfJC1,False,2020-10-12 14:47:42.666846
3,3.0,3.0,3.0,3.0,,,,7,,"$EDNT Edison Nation, Inc. Announces Acquisition of TBD Safety, LLC and its Flagship Product Line 911 He...… https://t.co/dple6BMFqC",False,2020-10-12 14:58:39.312268
4,4.0,4.0,4.0,,,,,5,,"Buy the dip still working. Another winning alerts live in this chat. https://t.co/CmCIV7vIef

$BLNK $VCNK $AMD… https://t.co/wzH339di4c",False,2020-10-12 16:49:39.308288
5,5.0,5.0,5.0,,,,,7,,"RT @Ver20123: $ABCE 

Government Contract confirmed!!!! 

Contract is for power generating stations with the us border patrol.

https://t.c…",False,2020-10-12 16:52:34.724170
6,6.0,6.0,6.0,,,,,13,,"RT @Ver20123: $ABCE 

Government Contract confirmed!!!! 

Contract is for power generating stations with the us border patrol.

https://t.c…",False,2020-10-12 16:55:31.629098
7,7.0,7.0,7.0,,,,,13,,"RT @Ver20123: $ABCE 

Government Contract confirmed!!!! 

Contract is for power generating stations with the us border patrol.

https://t.c…",False,2020-10-12 16:58:00.376204
8,8.0,8.0,,,,,,7,,"The Best. Free.

FREE CHATROOM LINK IN THE BIO!

$SOLO $MARK $AYRO $BOXL $LMND $BOXL $MARK $AMD $AYRO $CHFS $BDR… https://t.co/eMjX1gkomr",False,2020-10-12 17:46:09.094796
9,9.0,,,,,,,9,,"Guys ! i made 3k to 43k after joined this room https://t.co/H7e22rIv9x

$GAXY $RLFTF $IGEN $GAXY $CCTL $BRTXQ $IDEX… https://t.co/U2vWn7clva",False,2020-10-12 17:59:46.608909
10,,,,,,,,5,,"Most profitable trading community
https://t.co/aYA6pTe5ve

$KODK $UAVS $GNUS $GEVO $ZOM $CHGG $DYNT $SPAQ $SPY $AMD… https://t.co/Dbb4KLW5Vd",False,2020-10-12 18:43:46.370794
