,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"Jim Cramer: $GOLD

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $c $amzn $wfc $bac $nclh… https://t.co/83jLGx80PW",False,2020-10-12 14:33:50.499899
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"Which vaccine company is going to make the biggest waves this week? 

$AZN $BNTX $CVAC $EBS $GSK $IBIO $INO $JNJ… https://t.co/QpoHMmLMqz",False,2020-10-12 14:39:57.624786
2,2.0,2.0,2.0,2.0,2.0,,,5,,"Which vaccine company is going to make the biggest waves this week? 

$AZN $BNTX $CVAC $EBS $GSK $IBIO $INO $JNJ… https://t.co/QpoHMmLMqz",False,2020-10-12 14:47:42.699793
3,3.0,3.0,3.0,3.0,,,,5,,"Which vaccine company is going to make the biggest waves this week? 

$AZN $BNTX $CVAC $EBS $GSK $IBIO $INO $JNJ… https://t.co/QpoHMmLMqz",False,2020-10-12 14:58:39.336213
4,4.0,4.0,4.0,,,,,7,,RT @FPSwatchlist: $OMQS Huge News - OMNIQ’s AI Solution to Integrate with Zebra Technologies in Creating an Advanced Logistics Yard Managem…,False,2020-10-12 16:49:39.338208
5,5.0,5.0,5.0,,,,,7,,RT @FPSwatchlist: $OMQS Huge News - OMNIQ’s AI Solution to Integrate with Zebra Technologies in Creating an Advanced Logistics Yard Managem…,False,2020-10-12 16:52:34.748074
6,6.0,6.0,6.0,,,,,9,,"RT @low_float: $BMGP only 300 million A/S? under 1 cent?!💸

$APT $LAKE $MMM $TRIB $CODX $QGEN $BCRX $VIR $OBCI $ALT 
$INO $NVAX $VXRT $CBLI…",False,2020-10-12 16:55:31.655026
7,7.0,7.0,7.0,,,,,9,,"RT @low_float: $BMGP only 300 million A/S? under 1 cent?!💸

$APT $LAKE $MMM $TRIB $CODX $QGEN $BCRX $VIR $OBCI $ALT 
$INO $NVAX $VXRT $CBLI…",False,2020-10-12 16:58:00.403132
8,8.0,8.0,,,,,,8,,"RT @EmergingGrowth1: $CVLB Conversion Labs (CVLB) Expects Q3 2020 Record Revenue of $11.2 Million, up 254%

https://t.co/VZIVCb07iH

$MRNA…",False,2020-10-12 17:46:09.123748
9,9.0,,,,,,,10,,"RT @CattleRob: $CGC Nice run, gap to fill at $21.37

more info here:
https://t.co/YHx3l12PKy

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $…",False,2020-10-12 17:59:46.636834
10,,,,,,,,7,,"Thanks again for $TSLA and $SHOP 🙏❤️
https://t.co/aYA6pTe5ve

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $QQQ $BBAR $STNG… https://t.co/6cXYfYU9Mc",False,2020-10-12 18:43:46.400552
