,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,"Jim Cramer: $GOLD

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $c $amzn $wfc $bac $nclh… https://t.co/83jLGx80PW",False,2020-10-12 14:33:50.520860
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @MasaSonCap: This is such a narrative violation of $NFLX bulls that I don’t think they can even comprehend it.

It’s like in Westworld w…",False,2020-10-12 14:39:57.641710
2,2.0,2.0,2.0,2.0,2.0,,,5,,Market traders if you haven't already subscribe to the #TRICKTRADES FREE market news letter delivered right to your… https://t.co/6y7SPxStfF,False,2020-10-12 14:47:42.718432
3,3.0,3.0,3.0,3.0,,,,4,,RT @realwillmeade: $NFLX on the verge of a big breakout bf earnings on 10/20 if it goes above $545 this could go to $650 $700. #HubieHallow…,False,2020-10-12 14:58:39.354166
4,4.0,4.0,4.0,,,,,9,,"**Most profitable trading community. Get up to 574% profits
https://t.co/CmCIV7vIef

$SPY $QQQ $AMZN $NVDA $BA… https://t.co/sQoqHeTfVJ",False,2020-10-12 16:49:39.357156
5,5.0,5.0,5.0,,,,,16,,"RT @GoingGreenPicks: Rumor is $TSLA is going to put SpaceX into it. 700.00 here we come.

$AMZN $WPNNF $AMD $INTC $AAL $VFF $MDCL $PCTL $SP…",False,2020-10-12 16:52:34.766058
6,6.0,6.0,6.0,,,,,20,,"RT @GoingGreenPicks: Rumor is $TSLA is going to put SpaceX into it. 700.00 here we come.

$AMZN $WPNNF $AMD $INTC $AAL $VFF $MDCL $PCTL $SP…",False,2020-10-12 16:55:31.671983
7,7.0,7.0,7.0,,,,,20,,"RT @GoingGreenPicks: Rumor is $TSLA is going to put SpaceX into it. 700.00 here we come.

$AMZN $WPNNF $AMD $INTC $AAL $VFF $MDCL $PCTL $SP…",False,2020-10-12 16:58:00.420056
8,8.0,8.0,,,,,,7,,ELECTION 2020 COIN FLIP: Own This &amp; Win Either Way! https://t.co/dm4bQqtlkl $GLD $SLV $GDX $GDXJ $JNUG $JDST #gold… https://t.co/ctKgbiKAM5,False,2020-10-12 17:46:09.141699
9,9.0,,,,,,,11,,"RT @Stock_Pop: $ABCE 85M volume today after ANOTHER Government Contract announcement 

$AKBA $PSHG $ADMP $PXS $VVPR $SDPI $USWS $MDGS $SNMP…",False,2020-10-12 17:59:46.652792
10,,,,,,,,7,,"RT @ripster47: $AMZN $TSLA $AMD $NFLX all have earnings in next 15 days and provided tickers in WL this morning. 
Usually u can ride some m…",False,2020-10-12 18:43:46.417514
