,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"RT @FierceBadger420: $NKLA
How it started 

How it’s going

😂😂 https://t.co/7xhEoj4WjA",False,2020-10-12 14:33:50.437067
1,1.0,1.0,1.0,1.0,1.0,1.0,,6,,$tsla $nio $xpev $nkla $spaq $wkhs $dphc $shll $spce $amzn $aapl $li $graf $gm $f $fcau $spwr $sedg $enph $fslr… https://t.co/QMHnRlXvlP,False,2020-10-12 14:39:57.573926
2,2.0,2.0,2.0,2.0,2.0,,,5,,$tsla $nio $xpev $nkla $spaq $wkhs $dphc $shll $spce $amzn $aapl $li $graf $gm $f $fcau $spwr $sedg $enph $fslr… https://t.co/QMHnRlXvlP,False,2020-10-12 14:47:42.645903
3,3.0,3.0,3.0,3.0,,,,7,,"RT @TimothyDooner: First WHAT THE TRUCK?!? newsletter is now live. You can view it here if you weren't inboxed. 

https://t.co/NQCiTWDSap…",False,2020-10-12 14:58:39.291332
4,4.0,4.0,4.0,,,,,7,,"RT @CurationMostly: How it Started.              How its Going.
              $HTZ  $NKLA $SPAQ 
                         #Fintwit https://…",False,2020-10-12 16:49:39.287345
5,5.0,5.0,5.0,,,,,11,,"RT @CurationMostly: How it Started.              How its Going.
              $HTZ  $NKLA $SPAQ 
                         #Fintwit https://…",False,2020-10-12 16:52:34.704224
6,6.0,6.0,6.0,,,,,15,,"RT @CurationMostly: How it Started.              How its Going.
              $HTZ  $NKLA $SPAQ 
                         #Fintwit https://…",False,2020-10-12 16:55:31.611146
7,7.0,7.0,7.0,,,,,15,,"RT @CurationMostly: How it Started.              How its Going.
              $HTZ  $NKLA $SPAQ 
                         #Fintwit https://…",False,2020-10-12 16:58:00.356257
8,8.0,8.0,,,,,,8,,"$GMEV spike 🔜🚀

$OZSC $TLSS $VYST $GAXY $TOPS $TPTW $OPTI $PCTL $AAPL  $CCTL $CTS $HTBX $BOXL $TSLA $MSFT $ABML… https://t.co/2MNpYnb1kV",False,2020-10-12 17:46:09.075882
9,9.0,,,,,,,8,,"Guys ! i made 3k to 43k after joined this room https://t.co/H7e22rIv9x

$GAN $NKLA $DKNG $VRM $TRIL $BBAR $STNG… https://t.co/EfpGp2r2h5",False,2020-10-12 17:59:46.588955
10,,,,,,,,10,,"RT @OpenOutcrier: JOKE:

Hearing Chatter $GM is interested in $NKLA ' s flying car after seeing this test video https://t.co/dm1QhRC0A1",False,2020-10-12 18:43:46.349885
