,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,100.0,"RT @cooltigerx: Watchlist. 
Watching for day trade &amp; swing trade this week
$FAMI $CTRM $PXS $AKBA  $TRCH $AYRO $AESE $GTE $PIXY $ADMP $ARPO…",True,2020-10-12 14:33:50.446042
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,100.0,"RT @cooltigerx: Watchlist. 
Watching for day trade &amp; swing trade this week
$FAMI $CTRM $PXS $AKBA  $TRCH $AYRO $AESE $GTE $PIXY $ADMP $ARPO…",True,2020-10-12 14:39:57.582867
2,2.0,2.0,2.0,2.0,2.0,,,5,100.0,"RT @cooltigerx: Watchlist. 
Watching for day trade &amp; swing trade this week
$FAMI $CTRM $PXS $AKBA  $TRCH $AYRO $AESE $GTE $PIXY $ADMP $ARPO…",True,2020-10-12 14:47:42.651921
3,3.0,3.0,3.0,3.0,,,,5,100.0,"RT @cooltigerx: Watchlist. 
Watching for day trade &amp; swing trade this week
$FAMI $CTRM $PXS $AKBA  $TRCH $AYRO $AESE $GTE $PIXY $ADMP $ARPO…",True,2020-10-12 14:58:39.298282
4,4.0,4.0,4.0,,,,,5,500.00000000000017,$CGC buying PM. watching for bounce in weedies. $OGI $TLRY $CNTTQ $APHA $CRON $ACB,True,2020-10-12 16:49:39.293328
5,5.0,5.0,5.0,,,,,5,500.00000000000017,$CGC buying PM. watching for bounce in weedies. $OGI $TLRY $CNTTQ $APHA $CRON $ACB,True,2020-10-12 16:52:34.710208
6,6.0,6.0,6.0,,,,,5,500.00000000000017,$CGC buying PM. watching for bounce in weedies. $OGI $TLRY $CNTTQ $APHA $CRON $ACB,True,2020-10-12 16:55:31.617130
7,7.0,7.0,7.0,,,,,5,500.00000000000017,$CGC buying PM. watching for bounce in weedies. $OGI $TLRY $CNTTQ $APHA $CRON $ACB,True,2020-10-12 16:58:00.363239
8,8.0,8.0,,,,,,5,200.00000000000009,50 DMA Support today: $ANAB $ITGR $ETM $JBGS $CALX $ATNX $ARI $GOL $ZVO $MMT $ARTNA $OCX $SILV $FMC $MYL $OGI $CME… https://t.co/8dBtRqyI7Y,True,2020-10-12 17:46:09.081860
9,9.0,,,,,,,5,200.00000000000009,50 DMA Support today: $ANAB $ITGR $ETM $JBGS $CALX $ATNX $ARI $GOL $ZVO $MMT $ARTNA $OCX $SILV $FMC $MYL $OGI $CME… https://t.co/8dBtRqyI7Y,True,2020-10-12 17:59:46.594946
10,,,,,,,,5,500.0000000000001,$SPY $AAL $BA Stimulus will come &amp;  likely before thanksgiving. And so will therapeutics and later vaccines. Likely… https://t.co/3MJr8COpva,True,2020-10-12 18:43:46.356864
