,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"Mr Wonderful: ""Inflationary times""
$GOLD, @CNBC

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $zm… https://t.co/rZ9tedPxqF",False,2020-10-12 14:33:50.442054
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,$gme $wwr $ino $vvpr $xspa $gevo $chfs $dkng $vxrt $boxl $sunw $rkt $optt $aapl  $opti $nkla  $fb $lca $evfm $spaq… https://t.co/i1BeEeGKRZ,False,2020-10-12 14:39:57.578876
2,2.0,2.0,2.0,2.0,2.0,,,5,,$gme $wwr $ino $vvpr $xspa $gevo $chfs $dkng $vxrt $boxl $sunw $rkt $optt $aapl  $opti $nkla  $fb $lca $evfm $spaq… https://t.co/i1BeEeGKRZ,False,2020-10-12 14:47:42.648928
3,3.0,3.0,3.0,3.0,,,,5,,SHOPIFY WOW - what a company! Check out my awesome review - and make sure to subscribe to my channel! (I want to go… https://t.co/nQgNzbNsmJ,False,2020-10-12 14:58:39.295322
4,4.0,4.0,4.0,,,,,6,,"$spy $spx $swks $okta
$aapl $amzn $twtr $fb $msft $nflx #Futures $crm $xspa $nvda $googl $spxu $googl $shop $spot… https://t.co/TRD6UK1Byn",False,2020-10-12 16:49:39.290336
5,5.0,5.0,5.0,,,,,10,,"$spy $spx $swks $okta
$aapl $amzn $twtr $fb $msft $nflx #Futures $crm $xspa $nvda $googl $spxu $googl $shop $spot… https://t.co/CDNm5ORS1v",False,2020-10-12 16:52:34.707216
6,6.0,6.0,6.0,,,,,14,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:55:31.615105
7,7.0,7.0,7.0,,,,,14,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:58:00.359251
8,8.0,8.0,,,,,,6,,"Thanks for the $1k ❤️
DISCORD https://t.co/GDRnKsy9QW
Best stock trade Group out there! $TSLA $AMZN $GOOGL

$SPY… https://t.co/hCvZP0uT8E",False,2020-10-12 17:46:09.078867
9,9.0,,,,,,,8,,"RT @CattleRob: $CGC Nice run, gap to fill at $21.37

more info here:
https://t.co/YHx3l12PKy

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $…",False,2020-10-12 17:59:46.591949
10,,,,,,,,9,,"Thanks again for $TSLA and $SHOP 🙏❤️
https://t.co/aYA6pTe5ve

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $QQQ $BBAR $STNG… https://t.co/6cXYfYU9Mc",False,2020-10-12 18:43:46.353872
