,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:33:50.484938
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:33:50.506879
2,2.0,2.0,2.0,2.0,2.0,2.0,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:39:57.615810
3,3.0,3.0,3.0,3.0,3.0,3.0,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:39:57.631748
4,4.0,4.0,4.0,4.0,4.0,,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:47:42.684799
5,5.0,5.0,5.0,5.0,5.0,,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:47:42.706741
6,6.0,6.0,6.0,6.0,,,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:58:39.327218
7,7.0,7.0,7.0,7.0,,,,5,,"RT @stock_invester7: $BTC $ETH $LINK $XTZ $ADA $VET $KNC $SXP $TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AM…",False,2020-10-12 14:58:39.345190
8,8.0,8.0,8.0,,,,,6,,"Southwest Airlines adds flights to Montrose/Telluride, a Colorado ski destination, for this winter - Denver Busines… https://t.co/4rInDoqapX",False,2020-10-12 16:49:39.327238
9,9.0,9.0,9.0,,,,,6,,"Southwest Airlines adds flights to Montrose/Telluride, a Colorado ski destination, for this winter - Denver Busines… https://t.co/4rInDoqapX",False,2020-10-12 16:49:39.346187
10,10.0,10.0,10.0,,,,,8,,"Everyone, Come join an amazing group of traders https://t.co/NrFvsr0dVj

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG… https://t.co/rc6gItkxae",False,2020-10-12 16:52:34.739099
11,11.0,11.0,11.0,,,,,8,,"Everyone, Come join an amazing group of traders https://t.co/NrFvsr0dVj

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG… https://t.co/rc6gItkxae",False,2020-10-12 16:52:34.757079
12,12.0,12.0,12.0,,,,,10,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:55:31.645056
13,13.0,13.0,13.0,,,,,10,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:55:31.662011
14,14.0,14.0,14.0,,,,,10,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:58:00.393161
15,15.0,15.0,15.0,,,,,10,,"Hi everyone, Make big profits with us https://t.co/NrFvsr0dVj

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB… https://t.co/vfWXKSUu0C",False,2020-10-12 16:58:00.409118
16,16.0,16.0,,,,,,5,,"Thanks for the $1k ❤️
DISCORD https://t.co/GDRnKsy9QW
Best stock trade Group out there! $TSLA $AMZN $GOOGL

$SPY… https://t.co/hCvZP0uT8E",False,2020-10-12 17:46:09.113742
17,17.0,17.0,,,,,,5,,"Thanks for the $1k ❤️
DISCORD https://t.co/GDRnKsy9QW
Best stock trade Group out there! $TSLA $AMZN $GOOGL

$SPY… https://t.co/hCvZP0uT8E",False,2020-10-12 17:46:09.131731
18,18.0,,,,,,,6,,"Guys ! i made 3k to 43k after joined this room https://t.co/H7e22rIv9x

$GAN $NKLA $DKNG $VRM $TRIL $BBAR $STNG… https://t.co/EfpGp2r2h5",False,2020-10-12 17:59:46.625833
19,19.0,,,,,,,6,,"Guys ! i made 3k to 43k after joined this room https://t.co/H7e22rIv9x

$GAN $NKLA $DKNG $VRM $TRIL $BBAR $STNG… https://t.co/EfpGp2r2h5",False,2020-10-12 17:59:46.643817
20,,,,,,,,8,,"Thanks again for $TSLA and $SHOP 🙏❤️
https://t.co/aYA6pTe5ve

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $QQQ $BBAR $STNG… https://t.co/6cXYfYU9Mc",False,2020-10-12 18:43:46.387785
21,,,,,,,,8,,"Thanks again for $TSLA and $SHOP 🙏❤️
https://t.co/aYA6pTe5ve

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $QQQ $BBAR $STNG… https://t.co/6cXYfYU9Mc",False,2020-10-12 18:43:46.408538
