,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 14:33:50.535800
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 14:39:57.650686
2,2.0,2.0,2.0,2.0,2.0,,,6,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 14:47:42.730429
3,3.0,3.0,3.0,3.0,,,,6,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 14:58:39.364105
4,4.0,4.0,4.0,,,,,8,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 16:49:39.369126
5,5.0,5.0,5.0,,,,,13,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 16:52:34.775034
6,6.0,6.0,6.0,,,,,13,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 16:55:31.681927
7,7.0,7.0,7.0,,,,,13,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 16:58:00.429064
8,8.0,8.0,,,,,,5,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 17:46:09.150644
9,9.0,,,,,,,5,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 17:59:46.661768
10,,,,,,,,6,,"RT @SquawkCNBC: ""By my estimate we'll need between 300,000-400,000 doses a month just to treat the indicated population--based on current i…",False,2020-10-12 18:43:46.428490
