,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,"Jim Cramer: $GOLD

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $c $amzn $wfc $bac $nclh… https://t.co/83jLGx80PW",False,2020-10-12 14:33:50.489941
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,$tsla $nio $xpev $nkla $spaq $wkhs $dphc $shll $spce $amzn $aapl $li $graf $gm $f $fcau $spwr $sedg $enph $fslr… https://t.co/QMHnRlXvlP,False,2020-10-12 14:39:57.618806
2,2.0,2.0,2.0,2.0,2.0,,,5,,$tsla $nio $xpev $nkla $spaq $wkhs $dphc $shll $spce $amzn $aapl $li $graf $gm $f $fcau $spwr $sedg $enph $fslr… https://t.co/QMHnRlXvlP,False,2020-10-12 14:47:42.688788
3,3.0,3.0,3.0,3.0,,,,5,,"NEW POST: Weekly Memorandum 10/12/2020

$tsla $nflx $nkla $spce $myok $regn $mj $cron $cgc $btc $eth $ltc $riot… https://t.co/2CMg2j53jY",False,2020-10-12 14:58:39.330229
4,4.0,4.0,4.0,,,,,7,,"RT @BenJohn05984059: Paul Singer: $GOLD

“Most #Undervalued Assets Existing Today"" 
“Literally #Multiples of Its Current Price""

$ba $dal $…",False,2020-10-12 16:49:39.330230
5,5.0,5.0,5.0,,,,,11,,"RT @BenJohn05984059: Paul Singer: $GOLD

“Most #Undervalued Assets Existing Today"" 
“Literally #Multiples of Its Current Price""

$ba $dal $…",False,2020-10-12 16:52:34.742121
6,6.0,6.0,6.0,,,,,15,,"RT @BenJohn05984059: Paul Singer: $GOLD

“Most #Undervalued Assets Existing Today"" 
“Literally #Multiples of Its Current Price""

$ba $dal $…",False,2020-10-12 16:55:31.648019
7,7.0,7.0,7.0,,,,,15,,"RT @BenJohn05984059: Paul Singer: $GOLD

“Most #Undervalued Assets Existing Today"" 
“Literally #Multiples of Its Current Price""

$ba $dal $…",False,2020-10-12 16:58:00.396152
8,8.0,8.0,,,,,,5,,"DON'T MISS“alerted live in chat. Buy the dip in full effect’ https://t.co/GDRnKsPLfw

$SPCE $AZN $FMCI $AAL $BA… https://t.co/VE1bf6rzor",False,2020-10-12 17:46:09.117758
9,9.0,,,,,,,6,,"Guys ! i made 3k to 43k after joined this room https://t.co/H7e22rIv9x

$GAN $NKLA $DKNG $VRM $TRIL $BBAR $STNG… https://t.co/EfpGp2r2h5",False,2020-10-12 17:59:46.628823
10,,,,,,,,8,,"RT @noob_tradR: $DDS Just another example of shorts getting to confident and getting trapped on good news. Word to the wise shorts on $GME,…",False,2020-10-12 18:43:46.390773
