,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,"RT @duckman1717: Watch List: $TSLA, $ZM, $ZS, $NVDA, $CHGG, $AMD

Good luck this week folks! 

🦆",False,2020-10-12 14:33:50.450032
1,1.0,1.0,1.0,1.0,1.0,1.0,,7,,RT @pakpakchicken: Pope bought $tsla 😇,False,2020-10-12 14:39:57.586857
2,2.0,2.0,2.0,2.0,2.0,,,8,,RT @TMLTrader: $TSLA has been consolidating quietly and is now six weeks in a new base (502.49 std pivot).  Potential early entry if it can…,False,2020-10-12 14:47:42.654879
3,3.0,3.0,3.0,3.0,,,,8,,RT @ospuy: $TSLA こちらもそろそろ...。 https://t.co/3F1uN9NkHk,False,2020-10-12 14:58:39.302289
4,4.0,4.0,4.0,,,,,24,,RT @GerberKawasaki: FSD is coming to a tesla near you. Can’t wait.  $tsla,False,2020-10-12 16:49:39.297317
5,5.0,5.0,5.0,,,,,49,,RT @GerberKawasaki: FSD is coming to a tesla near you. Can’t wait.  $tsla,False,2020-10-12 16:52:34.713200
6,6.0,6.0,6.0,,,,,80,,"RT @Tesmanian_com: Tesla Exponential Growth Rate: From 100 Weekly Production in Q3 2012 to 11K+ Weekly Units in Q3 2020

$TSLA 2012-2020 Q3…",False,2020-10-12 16:55:31.620124
7,7.0,7.0,7.0,,,,,80,,"RT @Tesmanian_com: Tesla Exponential Growth Rate: From 100 Weekly Production in Q3 2012 to 11K+ Weekly Units in Q3 2020

$TSLA 2012-2020 Q3…",False,2020-10-12 16:58:00.367211
8,8.0,8.0,,,,,,12,,"RT @vincent13031925: Tesla Exponential Growth Rate: From 100 Weekly Production in Q3 2012 to 11K+ Weekly Units in Q3 2020

$TSLA 2012-2020…",False,2020-10-12 17:46:09.085849
9,9.0,,,,,,,30,,"RT @jicchamatome: 👴
今は0.679%。朝イチにチェックすべきは株価ではなく10年債利回り。そういう習慣つけて。市中金利と株式バリュエーションは、シーソーの関係にある。市中金利が上がると、株は下がる。特に気をつけるべき銘柄はゴールド→ $HMY とか。そしてグ…",False,2020-10-12 17:59:46.597917
10,,,,,,,,20,,"RT @fly4dat: Repeat after me: there is no market for Tesla's credits in Europe from 2021.

Volvo has a credit surplus and wants to sell it.…",False,2020-10-12 18:43:46.359825
