,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,"RT @GoingGreenPicks: $HTSC, EV ancillary play. They are developing a nickel mine in Timmins Ontario. Last trade .075. See you at .50-1.00.…",False,2020-10-12 14:33:50.516852
1,1.0,1.0,1.0,1.0,1.0,1.0,,5,,"RT @TicTocTick: All these stock like $ZM (500) , $AMD (85), $TTD (600), look bullish to me 

I see Zoom at 600, AMD 125, TTD at 800

But af…",False,2020-10-12 14:39:57.638718
2,2.0,2.0,2.0,2.0,2.0,,,5,,"RT @jicchamatome: 👴が2月に注目していた成長株 株価比較 (2月, 8月, 現在)
$TEAM 148→163→198
$OKTA 138→205→236
$ZM 105→278→492
$TSLA 900→1878→2165
$DOCU 90→208→225…",False,2020-10-12 14:47:42.714754
3,3.0,3.0,3.0,3.0,,,,7,,"RT @StockDweebs: Top stock picks this week:

$BIDU - 4.1%
$TSLA - 7.7%
$GRWG - 9.6%
$UAL - 7.6%
$ABT - 2.9%

Top watch-list picks this week…",False,2020-10-12 14:58:39.351178
4,4.0,4.0,4.0,,,,,10,,"RT @jicchamatome: 👴が2月に注目していた成長株 株価比較 (2月, 8月, 現在)
$TEAM 148→163→198
$OKTA 138→205→236
$ZM 105→278→492
$TSLA 900→1878→2165
$DOCU 90→208→225…",False,2020-10-12 16:49:39.354165
5,5.0,5.0,5.0,,,,,14,,"RT @jicchamatome: 👴が2月に注目していた成長株 株価比較 (2月, 8月, 現在)
$TEAM 148→163→198
$OKTA 138→205→236
$ZM 105→278→492
$TSLA 900→1878→2165
$DOCU 90→208→225…",False,2020-10-12 16:52:34.763065
6,6.0,6.0,6.0,,,,,20,,"RT @jicchamatome: 👴が2月に注目していた成長株 株価比較 (2月, 8月, 現在)
$TEAM 148→163→198
$OKTA 138→205→236
$ZM 105→278→492
$TSLA 900→1878→2165
$DOCU 90→208→225…",False,2020-10-12 16:55:31.668991
7,7.0,7.0,7.0,,,,,20,,"RT @jicchamatome: 👴が2月に注目していた成長株 株価比較 (2月, 8月, 現在)
$TEAM 148→163→198
$OKTA 138→205→236
$ZM 105→278→492
$TSLA 900→1878→2165
$DOCU 90→208→225…",False,2020-10-12 16:58:00.416098
8,8.0,8.0,,,,,,8,,"RT @stockMarketTrdg: Oct 12 #stockMarket overview and #stockTrading ideas
👉 https://t.co/hbMO4vMRVm👈

#Stocks listed: $SPY $AAPL $AMD $NXPI…",False,2020-10-12 17:46:09.138700
9,9.0,,,,,,,12,,"RT @CattleRob: $CGC Nice run, gap to fill at $21.37

more info here:
https://t.co/YHx3l12PKy

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $…",False,2020-10-12 17:59:46.649800
10,,,,,,,,8,,"Thanks again for $TSLA and $SHOP 🙏❤️
https://t.co/aYA6pTe5ve

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $QQQ $BBAR $STNG… https://t.co/6cXYfYU9Mc",False,2020-10-12 18:43:46.414522
